2023-03-09 16:12:15,724 INFO    Thread-21 (_run_job):15211 [wandb_setup.py:_flush():68] Configure stats pid to 15211
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_setup.py:_flush():68] Loading settings from /Users/crysiswar999/.config/wandb/settings
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_setup.py:_flush():68] Loading settings from /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/settings
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_DL_assignment_1', 'entity': 'cs22m031', 'root_dir': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1', 'sweep_id': 'rd2a1tz8', 'run_id': 'ls7y3bv9', 'sweep_param_path': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/sweep-rd2a1tz8/config-ls7y3bv9.yaml'}
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_init.py:_log_setup():492] Logging user logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230309_161215-ls7y3bv9/logs/debug.log
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_init.py:_log_setup():493] Logging internal logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230309_161215-ls7y3bv9/logs/debug-internal.log
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x2951b55d0>
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():532] calling init triggers
2023-03-09 16:12:15,725 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batchsize': 128, 'eta': 0.001, 'initialization': 'xavier', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 3, 'no_of_neurons': 64, 'optimizer': 'mgd', 'weight_decay': 0}
config: {}
2023-03-09 16:12:15,726 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():588] starting backend
2023-03-09 16:12:15,726 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():592] setting up manager
2023-03-09 16:12:15,738 INFO    Thread-21 (_run_job):15211 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-09 16:12:15,743 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():599] backend started and connected
2023-03-09 16:12:15,749 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'sigmoid', 'batchsize': 128, 'eta': 0.001, 'initialization': 'xavier', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 3, 'no_of_neurons': 64, 'optimizer': 'mgd', 'weight_decay': 0}
2023-03-09 16:12:15,757 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-09 16:12:15,757 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-09 16:12:15,757 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():687] updated telemetry
2023-03-09 16:12:15,782 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-09 16:12:16,565 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_on_init():2134] communicating current version
2023-03-09 16:12:16,634 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-09 16:12:16,635 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():775] starting run threads in backend
2023-03-09 16:12:16,715 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_console_start():2114] atexit reg
2023-03-09 16:12:16,715 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-09 16:12:16,715 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-09 16:12:16,715 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-09 16:12:16,716 INFO    Thread-21 (_run_job):15211 [wandb_init.py:init():817] run started, returning control to user process
2023-03-09 16:12:16,770 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_finish():1854] finishing run cs22m031/CS6910_DL_assignment_1/ls7y3bv9
2023-03-09 16:12:16,770 INFO    Thread-21 (_run_job):15211 [jupyter.py:save_history():449] not saving jupyter history
2023-03-09 16:12:16,771 INFO    Thread-21 (_run_job):15211 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-03-09 16:12:16,771 INFO    Thread-21 (_run_job):15211 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-03-09 16:12:16,771 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 1
2023-03-09 16:12:16,771 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_restore():2066] restore
2023-03-09 16:12:16,771 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_restore():2072] restore done
2023-03-09 16:12:22,420 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-09 16:12:22,420 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-09 16:12:22,423 INFO    Thread-21 (_run_job):15211 [wandb_run.py:_footer_sync_info():3398] logging synced files
