2023-03-09 16:21:59,215 INFO    Thread-34 (_run_job):15832 [wandb_setup.py:_flush():68] Configure stats pid to 15832
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_setup.py:_flush():68] Loading settings from /Users/crysiswar999/.config/wandb/settings
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_setup.py:_flush():68] Loading settings from /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/settings
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'CS6910_DL_assignment_1', 'entity': 'cs22m031', 'root_dir': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1', 'run_id': 'sdiizf0t', 'sweep_param_path': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/sweep-m2gxd6tx/config-sdiizf0t.yaml', 'sweep_id': 'm2gxd6tx'}
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:_log_setup():492] Logging user logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230309_162159-sdiizf0t/logs/debug.log
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:_log_setup():493] Logging internal logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230309_162159-sdiizf0t/logs/debug-internal.log
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():532] calling init triggers
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batchsize': 64, 'eta': 0.001, 'initialization': 'normal', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 5, 'no_of_neurons': 128, 'optimizer': 'adam', 'weight_decay': 0.001}
config: {}
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():588] starting backend
2023-03-09 16:21:59,216 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():592] setting up manager
2023-03-09 16:21:59,224 INFO    Thread-34 (_run_job):15832 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-09 16:21:59,228 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():599] backend started and connected
2023-03-09 16:21:59,232 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_config_callback():1250] config_cb None None {'activation': 'sigmoid', 'batchsize': 64, 'eta': 0.001, 'initialization': 'normal', 'loss': 'cross', 'max_epochs': 5, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 5, 'no_of_neurons': 128, 'optimizer': 'adam', 'weight_decay': 0.001}
2023-03-09 16:21:59,241 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-09 16:21:59,242 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-09 16:21:59,242 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():687] updated telemetry
2023-03-09 16:21:59,261 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-09 16:22:00,141 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_on_init():2134] communicating current version
2023-03-09 16:22:00,252 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.13.11 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-09 16:22:00,252 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():775] starting run threads in backend
2023-03-09 16:22:00,336 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_console_start():2114] atexit reg
2023-03-09 16:22:00,336 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-09 16:22:00,336 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-09 16:22:00,336 INFO    Thread-34 (_run_job):15832 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-09 16:22:00,337 INFO    Thread-34 (_run_job):15832 [wandb_init.py:init():817] run started, returning control to user process
2023-03-09 16:22:09,266 INFO    MainThread:15832 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-03-09 16:22:09,274 INFO    MainThread:15832 [wandb_init.py:_pause_backend():403] pausing backend
