2023-03-10 12:10:11,853 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Configure stats pid to 82468
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from /Users/crysiswar999/.config/wandb/settings
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/settings
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'CS6910_DL_assignment_1', 'entity': 'cs22m031', 'root_dir': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1', 'run_id': 'c1tqm5oj', 'sweep_param_path': '/Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/sweep-s0p0ts93/config-c1tqm5oj.yaml', 'sweep_id': 's0p0ts93'}
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_init.py:_log_setup():506] Logging user logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230310_121011-c1tqm5oj/logs/debug.log
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_init.py:_log_setup():507] Logging internal logs to /Users/crysiswar999/Documents/GitHub/CS6910-Assignment-1/wandb/run-20230310_121011-c1tqm5oj/logs/debug-internal.log
2023-03-10 12:10:11,854 INFO    Thread-143 (_run_job):82468 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x28df78c10>
2023-03-10 12:10:11,855 INFO    Thread-143 (_run_job):82468 [wandb_init.py:init():546] calling init triggers
2023-03-10 12:10:11,855 INFO    Thread-143 (_run_job):82468 [wandb_init.py:init():552] wandb.init called with sweep_config: {'activation': 'tanh', 'batchsize': 128, 'eta': 0.001, 'initialization': 'uniform', 'loss': 'cross', 'max_epochs': 10, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 6, 'no_of_neurons': 64, 'optimizer': 'nesterov', 'weight_decay': 0.001}
config: {}
2023-03-10 12:10:11,855 INFO    Thread-143 (_run_job):82468 [wandb_init.py:init():602] starting backend
2023-03-10 12:10:11,855 INFO    Thread-143 (_run_job):82468 [wandb_init.py:init():606] setting up manager
2023-03-10 12:10:11,873 INFO    Thread-143 (_run_job):82468 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-10 12:10:11,877 INFO    Thread-143 (_run_job):82468 [wandb_init.py:init():613] backend started and connected
2023-03-10 12:10:11,883 INFO    Thread-143 (_run_job):82468 [wandb_run.py:_config_callback():1249] config_cb None None {'activation': 'tanh', 'batchsize': 128, 'eta': 0.001, 'initialization': 'uniform', 'loss': 'cross', 'max_epochs': 10, 'no_of_classes': 10, 'no_of_features': 784, 'no_of_layers': 6, 'no_of_neurons': 64, 'optimizer': 'nesterov', 'weight_decay': 0.001}
